Rank,City,State,Popullation,
273,Allen, Texas,"104,645",
274,Pueblo, Colorado,"111,874",
275,Everett, Washington,"110,602",
276,South Fulton, Georgia,"108,064",
277,Peoria, Illinois,"113,176",
278,Nampa, Idaho,"100,310",
279,Tuscaloosa, Alabama,"99,627",
280,Miami Gardens, Florida,"111,644",
281,Santa Maria, California,"109,695",
282,Downey, California,"114,358",
283,Concord, North Carolina,"105,318",
284,San Buenaventura (Ventura), California,"110,736",
285,Costa Mesa, California,"111,926",
286,Sugar Land, Texas,"111,032",
287,Menifee, California,"102,526",
288,Tyler, Texas,"105,984",
289,Sparks, Nevada,"108,457",
290,Greeley, Colorado,"108,791",
291,Rio Rancho, New Mexico,"104,039",
292,Sandy Springs, Georgia,"108,068",
293,Dearborn, Michigan,"109,961",
294,Jurupa Valley, California,"105,054",
295,Spokane Valley, Washington,"102,983",
296,Hillsboro, Oregon,"106,438",
297,Davie town, Florida,"105,703",
298,Green Bay, Wisconsin,"107,363",
299,Centennial, Colorado,"108,422",
300,Buckeye, Arizona,"91,535",
301,Boulder, Colorado,"108,246",
302,Goodyear, Arizona,"95,288",
303,El Monte, California,"109,447",
304,West Covina, California,"109,501",
305,Brockton, Massachusetts,"105,654",
306,New Braunfels, Texas,"90,391",
307,El Cajon, California,"106,183",
308,Edinburg, Texas,"100,269",
309,Renton, Washington,"106,836",
310,Burbank, California,"107,335",
311,Inglewood, California,"107,759",
312,Rialto, California,"104,048",
313,Lee's Summit, Missouri,"101,122",
314,Bend, Oregon,"99,213",
315,South Bend, Indiana,"103,436",
316,Wichita Falls, Texas,"102,316",
317,St. George, Utah,"95,345",
318,Fishers, Indiana,"99,027",
319,Carmel, Indiana,"99,753",
320,Vacaville, California,"102,386",
321,Quincy, Massachusetts,"101,606",
322,Conroe, Texas,"89,990",
323,Chico, California,"102,816",
324,San Mateo, California,"105,665",
325,Lynn, Massachusetts,"101,263",
326,Albany, New York,"99,233",
327,Hesperia, California,"99,838",
328,New Bedford, Massachusetts,"101,089",
329,Davenport, Iowa,"101,728",
330,Daly, California,"104,973",
331,Fayetteville, Arkansas,"94,308",
332,San Angelo, Texas,"99,904",
333,Boca Raton, Florida,"97,439",
334,Longmont, Colorado,"98,906",
335,Norwalk, California,"102,762",
335,Suffolk, Virginia,"94,326",
337,Yuma, Arizona,"96,147",
338,Kenosha, Wisconsin,"99,979",
339,Palm Coast, Florida,"89,251",
340,Federal Way, Washington,"101,025",
341,Roanoke, Virginia,"100,015",
342,Vista, California,"98,414",
343,Tracy, California,"93,115",
344,Deltona, Florida,"93,702",
345,Beaverton, Oregon,"97,503",
346,Portsmouth, Virginia,"97,915",
